countryCode,thematicIdIdentifier,thematicIdIdentifierScheme,monitoringSiteIdentifier,monitoringSiteIdentifierScheme,monitoringSiteName,waterBodyIdentifier,waterBodyIdentifierScheme,waterBodyName,specialisedZoneType,naturalAWBHMWB,reservoir,surfaceWaterBodyTypeCode,subUnitIdentifier,subUnitIdentifierScheme,subUnitName,rbdIdentifier,rbdIdentifierScheme,rbdName,confidentialityStatus,lat,lon
AT,AT1000,euRBDCode,,,,,,,,,,,,,,AT1000,euRBDCode,DANUBE,inapplicable,47.68349,14.76229
AT,AT2000,euRBDCode,,,,,,,,,,,,,,AT2000,euRBDCode,RHINE,inapplicable,47.27943,9.878
AT,AT1001,euSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,inapplicable,47.68349,14.76229
AT,AT1100,euSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,AT1100,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,inapplicable,47.4166,12.00988
AT,AT1200,euSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,AT1200,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,inapplicable,48.06191,14.86627
AT,AT1300,euSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,AT1300,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,inapplicable,48.65362,16.15634
AT,AT1400,euSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,AT1400,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,inapplicable,47.48702,16.19731
AT,AT1500,euSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,AT1500,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,inapplicable,47.16687,14.92063
AT,AT1600,euSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,AT1600,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,inapplicable,46.8005,13.70058
AT,AT2100,euSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,AT2100,euSubUnitCode,RHINE,AT2000,euRBDCode,RHINE,inapplicable,47.27943,9.878
AT,AT5100,euSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,AT5100,euSubUnitCode,ELBE,AT5000,euRBDCode,ELBE,inapplicable,48.80381,15.06465
BE,BEAM,eionetSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,BEAM,eionetSubUnitCode,AMBLEVE,BEMEUSE_RW,euRBDCode,INTERNATIONAL RIVER BASIN DISTRICT OF THE MEUSE,inapplicable,,
BE,BEDE,eionetSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,BEDE,eionetSubUnitCode,DENDRE,BEESCAUT_RW,euRBDCode,INTERNATIONAL RIVER BASIN DISTRICT OF THE SCHELDT,inapplicable,,
BE,BEDY,eionetSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,BEDY,eionetSubUnitCode,DYLE-GETTE,BEESCAUT_RW,euRBDCode,INTERNATIONAL RIVER BASIN DISTRICT OF THE SCHELDT,inapplicable,,
BE,BEES,eionetSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,BEES,eionetSubUnitCode,ESCAUT LYS,BEESCAUT_RW,euRBDCode,INTERNATIONAL RIVER BASIN DISTRICT OF THE SCHELDT,inapplicable,,
BE,BEHA,eionetSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,BEHA,eionetSubUnitCode,HAINE,BEESCAUT_RW,euRBDCode,INTERNATIONAL RIVER BASIN DISTRICT OF THE SCHELDT,inapplicable,,
BE,BELE,eionetSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,BELE,eionetSubUnitCode,LESSE,BEMEUSE_RW,euRBDCode,INTERNATIONAL RIVER BASIN DISTRICT OF THE MEUSE,inapplicable,,
BE,BEMM,eionetSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,BEMM,eionetSubUnitCode,MEUSE AMONT,BEMEUSE_RW,euRBDCode,INTERNATIONAL RIVER BASIN DISTRICT OF THE MEUSE,inapplicable,,
BE,BEMO,eionetSubUnitCode,,,,,,,riverBasinDistrictSubUnit,,,,BEMO,eionetSubUnitCode,MOSELLE,BERHIN_RW,euRBDCode,INTERNATIONAL RIVER BASIN DISTRICT OF THE RHINE,inapplicable,,
